"","Movie","rank","release_group","worldwide","domestic","percent","foreign","percent_2","year","...1","Book","book_year","movie_year","time_diff"
"898","The Lord of the Rings: The Two Towers",1,"The Lord of the Rings: The Two Towers",923015234,339789881,"36.8%","$583,225,353","63.2%",2002,2112,"The Lord of the Rings (1954–1955)[N 9], J. R. R. Tolkien",1954,2002,48
"899","The Lords of Discipline",62,"The Lords of Discipline",11787127,11787127,"100%","-","-",1983,2114,"The Lords of Discipline (1980), Pat Conroy",1980,1983,3
"900","The Lost World: Jurassic Park",5,"The Lost World: Jurassic Park",229086679,229086679,"100%","-","-",1997,1869,"Jurassic Park (1990), Michael Crichton",1990,1997,7
"901","The Lost World: Jurassic Park",5,"The Lost World: Jurassic Park",229086679,229086679,"100%","-","-",1997,2126,"The Lost World (1995), Michael Crichton",1995,1997,2
"902","The Lovely Bones",64,"The Lovely Bones",93621340,44114232,"47.1%","$49,507,108","52.9%",2009,2130,"The Lovely Bones (2002), Alice Sebold",2002,2009,7
"903","The Lucky One",73,"The Lucky One",99357138,60457138,"60.8%","$38,900,000","39.2%",2012,2132,"The Lucky One (2008), Nicholas Sparks",2008,2012,4
"904","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3403,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1985,138
"905","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3396,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1943,96
"906","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3393,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1923,76
"907","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3401,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1977,130
"908","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3395,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1939,92
"909","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3404,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1998,151
"910","The Man in the Iron Mask",21,"The Man in the Iron Mask",182968902,56968902,"31.1%","$126,000,000","68.9%",1998,3405,"The Vicomte of Bragelonne: Ten Years Later (French: Le Vicomte de Bragelonne ou Dix ans plus tard) (1847–1850), Alexandre Dumas, père",1847,1998,151
"911","The Man Without a Face",61,"The Man Without a Face",24760338,24760338,"100%","-","-",1993,2156,"The Man Without a Face (1972), Isabelle Holland",1972,1993,21
"912","The Manchurian Candidate",62,"The Manchurian Candidate",96105910,65955630,"68.6%","$30,150,280","31.4%",2004,2160,"The Manchurian Candidate (1959), Richard Condon",1959,2004,45
"913","The Manchurian Candidate",62,"The Manchurian Candidate",96105910,65955630,"68.6%","$30,150,280","31.4%",2004,2159,"The Manchurian Candidate (1959), Richard Condon",1959,1962,3
"914","The Mirror Crack'd",56,"The Mirror Crack'd",11000657,1.1e+07,"100%","$657","<0.1%",1980,2207,"The Mirror Crack'd from Side to Side (1962), Agatha Christie",1962,1980,18
"915","The Missing",109,"The Missing",38364277,27011180,"70.4%","$11,353,097","29.6%",2003,1998,"The Last Ride (1996), Thomas Eidson",1996,2003,7
"916","The Monkey King 2",47,"The Monkey King 2",193678298,709982,"0.4%","$192,968,316","99.6%",2016,1840,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",1592,2016,424
"917","The Monkey King 3",63,"The Monkey King 3",115084576,187074,"0.2%","$114,897,502","99.8%",2018,1843,"Journey to the West (Chinese: 西遊記, Xī Yóu Jì) (c. 1592), Wu Cheng'en",1592,2018,426
"918","The Mortal Instruments: City of Bones",74,"The Mortal Instruments: City of Bones",95396573,31165421,"32.7%","$64,231,152","67.3%",2013,2285,"The Mortal Instruments – Book One: City of Bones (2007), Cassandra Clare",2007,2013,6
"919","The Mosquito Coast",60,"The Mosquito Coast",14302779,14302779,"100%","-","-",1986,2286,"The Mosquito Coast (1981), Paul Theroux",1981,1986,5
"920","The Musketeer",98,"The Musketeer",32533802,27073640,"83.2%","$5,460,162","16.8%",2001,3227,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,2001,157
"921","The Name of the Rose",89,"The Name of the Rose",7153487,7153487,"100%","-","-",1986,2336,"The Name of the Rose (1980), Umberto Eco",1980,1986,6
"922","The Nanny Diaries",108,"The Nanny Diaries",47817020,25930652,"54.2%","$21,886,368","45.8%",2007,2338,"The Nanny Diaries (2002), Emma McLaughlin and Nicola Kraus",2002,2007,5
"923","The Natural",14,"The Natural",47951979,47951979,"100%","-","-",1984,2341,"The Natural (1952), Bernard Malamud",1952,1984,32
"924","The NeverEnding Story",54,"The NeverEnding Story",20166141,20158808,"100%","-","-",1984,2348,"The Neverending Story (1979), Michael Ende",1979,1984,5
"925","The NeverEnding Story II: The Next Chapter",69,"The NeverEnding Story II: The Next Chapter",17373527,17373527,"100%","-","-",1991,2349,"The Neverending Story (1979), Michael Ende",1979,1990,11
"926","The Ninth Gate",119,"The Ninth Gate",18661336,18661336,"100%","-","-",2000,649,"The Club Dumas (Spanish: El Club Dumas) (1993), Arturo Pérez-Reverte",1993,1999,6
"927","The Notebook",45,"The Notebook",118108782,81001787,"68.6%","$37,085,800","31.4%",2004,2389,"The Notebook (1996), Nicholas Sparks",1996,2004,8
"928","The Osterman Weekend",85,"The Osterman Weekend",6486797,6486797,"100%","-","-",1983,2466,"The Osterman Weekend (1972), Robert Ludlum",1972,1983,11
"929","The Other Boleyn Girl",75,"The Other Boleyn Girl",78199679,26814957,"34.3%","$51,384,722","65.7%",2008,2467,"The Other Boleyn Girl (2001), Philippa Gregory",2001,2003,2
"930","The Other Boleyn Girl",75,"The Other Boleyn Girl",78199679,26814957,"34.3%","$51,384,722","65.7%",2008,2468,"The Other Boleyn Girl (2001), Philippa Gregory",2001,2008,7
"931","The Other Side of Midnight",21,"The Other Side of Midnight",24652021,24652021,"100%","-","-",1977,2470,"The Other Side of Midnight (1973), Sidney Sheldon",1973,1977,4
"932","The Outsiders",28,"The Outsiders",25716511,25697647,"99.9%","$18,864","<0.1%",1983,2475,"The Outsiders (1967), S. E. Hinton",1967,1983,16
"933","The Painted Veil",154,"The Painted Veil",26910847,8060487,"30%","$18,850,360","70%",2006,2482,"The Painted Veil (1925), W. Somerset Maugham",1925,2006,81
"934","The Painted Veil",154,"The Painted Veil",26910847,8060487,"30%","$18,850,360","70%",2006,2480,"The Painted Veil (1925), W. Somerset Maugham",1925,1934,9
"935","The Parent Trap",39,"The Parent Trap",92108518,66308518,"72%","$25,800,000","28%",1998,2061,"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner",1949,1961,12
"936","The Parent Trap",39,"The Parent Trap",92108518,66308518,"72%","$25,800,000","28%",1998,2073,"Lisa and Lottie (German: Das doppelte Lottchen) (1949), Erich Kästner",1949,1998,49
"937","The Pelican Brief",8,"The Pelican Brief",100768056,100768056,"100%","-","-",1993,2493,"The Pelican Brief (1992), John Grisham",1992,1993,1
"938","The Personal History of David Copperfield",84,"The Personal History of David Copperfield",14399270,1876298,"13%","$12,522,972","87%",2020,769,"David Copperfield (serialised 1849–1850, published as a book 1850), Charles Dickens",1849,2019,170
"939","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2530,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1962,53
"940","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2531,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1983,74
"941","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2534,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1998,89
"942","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2535,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,2004,95
"943","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2533,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1989,80
"944","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2527,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1916,7
"945","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2528,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1925,16
"946","The Phantom of the Opera",120,"The Phantom of the Opera",3953745,3953745,"100%","-","-",1989,2532,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1988,79
"947","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2530,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1962,53
"948","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2531,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1983,74
"949","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2534,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1998,89
"950","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2535,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,2004,95
"951","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2533,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1989,80
"952","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2527,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1916,7
"953","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2528,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1925,16
"954","The Phantom of the Opera",35,"The Phantom of the Opera",154648887,51268815,"33.2%","$103,380,072","66.8%",2004,2532,"The Phantom of the Opera (French: Le Fantôme de l'Opéra) (serialised 1909–1910, published as a book 1910), Gaston Leroux",1909,1988,79
"955","The Pianist",38,"The Pianist",120072577,32572577,"27.1%","$87,500,000","72.9%",2002,589,"A Certain Mr. Takahashi (1985), Ann Ireland",1985,1991,6
"956","The Pianist",38,"The Pianist",120072577,32572577,"27.1%","$87,500,000","72.9%",2002,2538,"The Pianist (Spanish: El pianista) (1985), Manuel Vázquez Montalbán",1985,1998,13
"957","The Pope of Greenwich Village",97,"The Pope of Greenwich Village",6836201,6836201,"100%","-","-",1984,2584,"The Pope of Greenwich Village (1979), Vincent Patrick",1979,1984,5
"958","The Postman",77,"The Postman",21851184,21848932,"100%","$2,252","<0.1%",1995,2594,"The Postman (1985), David Brin",1985,1997,12
"959","The Postman",93,"The Postman",17626234,17626234,"100%","-","-",1997,2594,"The Postman (1985), David Brin",1985,1997,12
"960","The Postman Always Rings Twice",59,"The Postman Always Rings Twice",12383416,12376625,"99.9%","$6,791","<0.1%",1981,2598,"The Postman Always Rings Twice (1934), James Cain",1934,1981,47
"961","The Postman Always Rings Twice",59,"The Postman Always Rings Twice",12383416,12376625,"99.9%","$6,791","<0.1%",1981,2597,"The Postman Always Rings Twice (1934), James Cain",1934,1946,12
"962","The Power",154,"The Power",929162,929162,"100%","-","-",1984,2599,"The Power (1956), Frank M. Robinson",1956,1968,12
"963","The Power of One",138,"The Power of One",2827107,2827107,"100%","-","-",1992,2601,"The Power of One (1989), Bryce Courtenay",1989,1992,3
"964","The Preacher's Wife",33,"The Preacher's Wife",48102795,48102795,"100%","-","-",1996,383,"The Bishop's Wife (1928), Robert Nathan",1928,1996,68
"965","The Prince of Tides",16,"The Prince of Tides",74787599,74787599,"100%","-","-",1991,2628,"The Prince of Tides (1986), Pat Conroy",1986,1991,5
"966","The Princess Bride",41,"The Princess Bride",30935848,30857814,"99.7%","-","-",1987,2629,"The Princess Bride (1973), William Goldman",1973,1987,14
"967","The Princess Diaries",27,"The Princess Diaries",165335153,108248956,"65.5%","$57,086,197","34.5%",2001,2630,"The Princess Diaries (2000–2009) (series), Meg Cabot",2000,2002,2
"968","The Princess Diaries 2: Royal Engagement",39,"The Princess Diaries 2: Royal Engagement",134734481,95170481,"70.6%","$39,564,000","29.4%",2004,2631,"The Princess Diaries (2000–2009) (series), Meg Cabot",2000,2004,4
"969","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2639,"The Prisoner of Zenda (1894), Anthony Hope",1894,1979,85
"970","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2638,"The Prisoner of Zenda (1894), Anthony Hope",1894,1952,58
"971","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2637,"The Prisoner of Zenda (1894), Anthony Hope",1894,1937,43
"972","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2636,"The Prisoner of Zenda (1894), Anthony Hope",1894,1922,28
"973","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2634,"The Prisoner of Zenda (1894), Anthony Hope",1894,1913,19
"974","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2635,"The Prisoner of Zenda (1894), Anthony Hope",1894,1915,21
"975","The Prisoner of Zenda",56,"The Prisoner of Zenda",7650600,7650600,"100%","-","-",1979,2640,"The Prisoner of Zenda (1894), Anthony Hope",1894,1984,90
"976","The Puppet Masters",116,"The Puppet Masters",8647042,8647042,"100%","-","-",1994,2657,"The Puppet Masters (1951), Robert A. Heinlein",1951,1994,43
"977","The Quick and the Dead",85,"The Quick and the Dead",18636537,18636537,"100%","-","-",1995,2664,"The Quick and the Dead (1973), Louis L'Amour",1973,1987,14
"978","The Quiet American",122,"The Quiet American",27674124,12988801,"46.9%","$14,685,323","53.1%",2002,2666,"The Quiet American (1955), Graham Greene",1955,1958,3
"979","The Quiet American",122,"The Quiet American",27674124,12988801,"46.9%","$14,685,323","53.1%",2002,2667,"The Quiet American (1955), Graham Greene",1955,2002,47
"980","The Rage: Carrie 2",105,"The Rage: Carrie 2",17762705,17762705,"100%","-","-",1999,570,"Carrie (1974), Stephen King",1974,1998,24
"981","The Rainbow",189,"The Rainbow",444055,444055,"100%","-","-",1989,2674,"The Rainbow (1915), D. H. Lawrence",1915,1989,74
"982","The Rainmaker",47,"The Rainmaker",45916769,45916769,"100%","-","-",1997,2678,"The Rainmaker (1995), John Grisham",1995,1997,2
"983","The Razor's Edge",100,"The Razor's Edge",6551987,6551987,"100%","-","-",1984,2686,"The Razor's Edge (1944), W. Somerset Maugham",1944,1946,2
"984","The Razor's Edge",100,"The Razor's Edge",6551987,6551987,"100%","-","-",1984,2687,"The Razor's Edge (1944), W. Somerset Maugham",1944,1984,40
"985","The Reader",61,"The Reader",108902486,34194407,"31.4%","$74,708,079","68.6%",2008,2688,"The Reader (1995), Bernhard Schlink",1995,2008,13
"986","The Remains of the Day",65,"The Remains of the Day",23240144,23237911,"100%","-","-",1993,2704,"The Remains of the Day (1989), Ishiguro",1989,1993,4
"987","The Rescuers",15,"The Rescuers",29000120,2.9e+07,"100%","-","-",1977,2706,"The Rescuers (1959), Margery Sharp",1959,1977,18
"988","The Rescuers Down Under",42,"The Rescuers Down Under",27931461,27931461,"100%","-","-",1990,2707,"The Rescuers (1959), Margery Sharp",1959,1990,31
"989","The Return of the Living Dead",59,"The Return of the Living Dead",14240787,14237880,"100%","-","-",1985,2711,"Return of the Living Dead (1977), John Russo",1977,1985,8
"990","The Ring",17,"The Ring",249348933,129128133,"51.8%","$120,220,800","48.2%",2002,2736,"Ring (リング, Ringu) (1991), Koji Suzuki",1991,2002,11
"991","The River",72,"The River",11489982,11489982,"100%","-","-",1984,2741,"The River (1946), Rumer Godden",1946,1951,5
"992","The Road",162,"The Road",27639579,8117000,"29.4%","$19,522,579","70.6%",2009,2744,"The Road (2006), Cormac McCarthy",2006,2009,3
"993","The Roses",49,"The Roses",50587285,15291573,"30.2%","$35,295,712","69.8%",2025,3440,"The War of the Roses (1981), Warren Adler",1981,2025,44
"994","The Rules of Attraction",191,"The Rules of Attraction",11819244,6532619,"55.3%","$5,286,625","44.7%",2002,2797,"The Rules of Attraction (1987), Bret Easton Ellis",1987,2002,15
"995","The Running Man",30,"The Running Man",38123906,38122105,"100%","-","-",1987,2802,"The Running Man (1982), Stephen King[N 33]",1982,1987,5
"996","The Running Man",30,"The Running Man",38123906,38122105,"100%","-","-",1987,282,"The Ballad of the Running Man (1961), Shelley Smith",1961,1963,2
"997","The Russia House",54,"The Russia House",22997992,22997992,"100%","-","-",1990,2803,"The Russia House (1989), John le Carré",1989,1990,1
"998","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2843,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1926,76
"999","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2839,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1913,63
"1000","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2844,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1934,84
"1001","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2837,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1908,58
"1002","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2846,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1995,145
"1003","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2841,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1920,70
"1004","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2842,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1922,72
"1005","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2840,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1917,67
"1006","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2845,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1973,123
"1007","The Scarlet Letter",117,"The Scarlet Letter",10382407,10382407,"100%","-","-",1995,2838,"The Scarlet Letter (1850), Nathaniel Hawthorne",1850,1911,61
"1008","The Score",38,"The Score",113579918,71107711,"62.6%","$42,472,207","37.4%",2001,2860,"The Score (1963), Donald E. Westlake[N 3]",1963,1978,15
"1009","The Second Best Exotic Marigold Hotel",86,"The Second Best Exotic Marigold Hotel",85978266,33078266,"38.5%","$52,900,000","61.5%",2015,3149,"These Foolish Things (2004), Deborah Moggach",2004,2015,11
"1010","The Secret Life of Bees",130,"The Secret Life of Bees",39952437,37770162,"94.5%","$2,182,275","5.5%",2008,2878,"The Secret Life of Bees (2002), Sue Monk Kidd",2002,2008,6
"1011","The Secret of NIMH",52,"The Secret of NIMH",14665733,14665733,"100%","-","-",1982,2296,"Mrs. Frisby and the Rats of NIMH (1971), Robert C. O'Brien",1971,1982,11
"1012","The Shaggy Dog",67,"The Shaggy Dog",87134280,61123569,"70.1%","$26,010,711","29.9%",2006,1622,"The Hound of Florence (German: Der Hund von Florenz) (1923), Felix Salten",1923,1994,71
"1013","The Shaggy Dog",67,"The Shaggy Dog",87134280,61123569,"70.1%","$26,010,711","29.9%",2006,1623,"The Hound of Florence (German: Der Hund von Florenz) (1923), Felix Salten",1923,2006,83
"1014","The Shaggy Dog",67,"The Shaggy Dog",87134280,61123569,"70.1%","$26,010,711","29.9%",2006,1619,"The Hound of Florence (German: Der Hund von Florenz) (1923), Felix Salten",1923,1959,36
"1015","The Shining",14,"The Shining",44083638,44017374,"99.8%","$66,264","0.2%",1980,2918,"The Shining (1977), Stephen King",1977,1980,3
"1016","The Shipping News",114,"The Shipping News",24690441,11434216,"46.3%","$13,256,225","53.7%",2001,2920,"The Shipping News (1993), Annie Proulx",1993,2001,8
"1017","The Silence of the Lambs",4,"The Silence of the Lambs",130875975,130742922,"99.9%","$125,425","<0.1%",1991,2931,"The Silence of the Lambs (1988), Thomas Harris",1988,1991,3
"1018","The Spy Who Loved Me",7,"The Spy Who Loved Me",46839295,46838673,"100%","-","-",1977,2997,"The Spy Who Loved Me (1962), Ian Fleming",1962,1977,15
"1019","The Stepford Wives",53,"The Stepford Wives",103370127,59484742,"57.5%","$43,885,385","42.5%",2004,3017,"The Stepford Wives (1972), Ira Levin",1972,2004,32
"1020","The Stepford Wives",53,"The Stepford Wives",103370127,59484742,"57.5%","$43,885,385","42.5%",2004,3013,"The Stepford Wives (1972), Ira Levin",1972,1975,3
"1021","The Sum of All Fears",23,"The Sum of All Fears",193921372,118907036,"61.3%","$75,014,336","38.7%",2002,3039,"The Sum of All Fears (1991), Tom Clancy",1991,2002,11
"1022","The Sword in the Stone",59,"The Sword in the Stone",1.2e+07,1.2e+07,"100%","-","-",1983,3057,"The Sword in the Stone (1938), T. H. White",1938,1963,25
"1023","The Taking of Pelham 123",40,"The Taking of Pelham 123",150166126,65452312,"43.6%","$84,713,814","56.4%",2009,3063,"The Taking of Pelham One Two Three (1973), Morton Freedgood[N 6]",1973,2009,36
"1024","The Talented Mr. Ripley",30,"The Talented Mr. Ripley",128798265,81298265,"63.1%","$47,500,000","36.9%",1999,3074,"The Talented Mr. Ripley (1955), Patricia Highsmith",1955,1999,44
"1025","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3184,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1939,95
"1026","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3180,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1932,88
"1027","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3199,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1961,117
"1028","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3178,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1921,77
"1029","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3219,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1986,142
"1030","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3181,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1933,89
"1031","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3198,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1959,115
"1032","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3185,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1942,98
"1033","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3210,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1973,129
"1034","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3225,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1993,149
"1035","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3211,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1973,129
"1036","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3186,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1946,102
"1037","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3182,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1935,91
"1038","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3236,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,2011,167
"1039","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3187,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1948,104
"1040","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3176,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1916,72
"1041","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3191,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1953,109
"1042","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3175,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1914,70
"1043","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3234,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,2008,164
"1044","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3205,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1969,125
"1045","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3238,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,2013,169
"1046","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3232,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,2006,162
"1047","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3214,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1974,130
"1048","The Three Musketeers",21,"The Three Musketeers",53898845,53898845,"100%","-","-",1993,3223,"The Three Musketeers (French: Les Trois Mousquetaires) (1844), Alexandre Dumas, père",1844,1992,148
